Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_183-1	2020/02/12 19:13:21	CTD	CTD	on deck				started	12° 25.126' N	056° 44.011' W	4435	0	193.6	69.0	11.8	02	0
M161_184-1	2020/02/12 21:22:52	CTD	CTD	in the water			W2, clean ship	started	12° 16.508' N	056° 59.418' W	4462	2	236.6	63.0	10.5	02	0
M161_184-1	2020/02/12 21:39:30	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 16.508' N	056° 59.414' W	4462	1	149.9	68.0	10.3	02	800
M161_184-1	2020/02/12 21:55:28	CTD	CTD	on deck				started	12° 16.509' N	056° 59.414' W	4463	1	82.7	67.0	10.5	02	0
M161_185-1	2020/02/13 00:33:05	CTD	CTD	in the water			W2, clean ship	started	12° 07.517' N	057° 14.711' W	4473	1	238.6	68.0	11.2	02	0
M161_185-1	2020/02/13 00:53:50	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 07.521' N	057° 14.706' W	4471	1	10.1	61.0	12.3	02	800
M161_185-1	2020/02/13 01:14:01	CTD	CTD	on deck				started	12° 07.519' N	057° 14.707' W	4472	0	229.6	66.0	11.5	02	0
M161_186-1	2020/02/13 04:28:00	CTD	CTD	in the water			W2, clean ship	started	12° 25.129' N	057° 24.915' W	4492	1	216.5	65.0	10.7	02	0
M161_186-1	2020/02/13 04:47:31	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.132' N	057° 24.915' W	4492	1	215.5	55.0	9.9	02	800
M161_186-1	2020/02/13 05:27:07	CTD	CTD	on deck				started	12° 25.133' N	057° 24.915' W	4493	0	286.9	54.0	11.2	02	0
M161_187-1	2020/02/13 06:45:49	CTD	CTD	in the water			W2, clean ship	started	12° 25.135' N	057° 24.914' W	4493	1	317.2	55.0	9.6	02	0
M161_187-1	2020/02/13 06:55:02	CTD	CTD	max depth/on ground			SLmax = 250m	started	12° 25.132' N	057° 24.915' W	4493	1	244.3	74.0	8.3	02	250
M161_187-1	2020/02/13 07:12:45	CTD	CTD	on deck				started	12° 25.134' N	057° 24.914' W	4493	1	306.6	55.0	9.3	02	0
M161_188-1	2020/02/13 09:49:20	CTD	CTD	in the water			W2, clean ship	started	12° 42.723' N	057° 14.755' W	4464	1	11.1	51.0	11.4	02	9
M161_188-1	2020/02/13 10:06:48	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 42.725' N	057° 14.755' W	4462	1	318.2	52.0	11.2	02	800
M161_188-1	2020/02/13 10:23:55	CTD	CTD	on deck				started	12° 42.724' N	057° 14.754' W	4457	1	315.6	54.0	11.4	02	0
M161_189-1	2020/02/13 12:35:41	CTD	CTD	in the water			W2, clean ship	started	13° 00.043' N	057° 14.756' W	4739	1	199.3	52.0	13.6	02	0
M161_189-1	2020/02/13 12:55:36	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 00.040' N	057° 14.755' W	4742	1	265.0	54.0	11.1	02	800
M161_189-1	2020/02/13 13:14:20	CTD	CTD	on deck				started	13° 00.041' N	057° 14.755' W	4740	0	307.7	54.0	12.1	02	0
M161_190-1	2020/02/13 15:35:39	CTD	CTD	in the water			W2, clean ship	started	13° 18.005' N	057° 14.703' W	4952	1	270.9	59.0	12.9	02	0
M161_190-1	2020/02/13 15:53:40	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 18.003' N	057° 14.701' W	4954	1	310.3	60.0	11.3	02	800
M161_190-1	2020/02/13 16:14:31	CTD	CTD	on deck				started	13° 18.002' N	057° 14.702' W	4954	1	167.9	55.0	11.5	02	0
M161_191-1	2020/02/13 18:20:14	CTD	CTD	in the water			W2, clean ship	started	13° 35.638' N	057° 14.714' W	4830	2	282.0	58.0	10.9	02	0
M161_191-1	2020/02/13 18:38:27	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 35.638' N	057° 14.714' W	4829	1	197.9	58.0	10.3	02	799
M161_191-1	2020/02/13 18:57:02	CTD	CTD	on deck				started	13° 35.636' N	057° 14.713' W	4833	1	313.7	60.0	11.4	02	0
M161_192-1	2020/02/13 21:16:08	CTD	CTD	in the water			W2, clean ship	started	13° 53.290' N	057° 14.758' W	4865	1	159.9	76.0	11.4	02	0
M161_192-1	2020/02/13 21:33:53	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 53.294' N	057° 14.756' W	4863	0	154.3	78.0	10.9	02	800
M161_192-1	2020/02/13 21:50:27	CTD	CTD	on deck				started	13° 53.293' N	057° 14.754' W	4865	1	132.8	68.0	12.1	02	0
M161_193-1	2020/02/14 00:23:41	CTD	CTD	in the water			W2, clean ship	started	14° 10.922' N	057° 14.713' W	5172	1	174.1	74.0	11.7	02	0
M161_193-1	2020/02/14 00:43:25	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.923' N	057° 14.711' W	5172	1	232.2	66.0	12.3	02	801
M161_193-1	2020/02/14 01:03:10	CTD	CTD	on deck				started	14° 10.924' N	057° 14.710' W	5172	1	50.4	81.0	11.3	02	0
M161_194-1	2020/02/14 03:28:14	CTD	CTD	in the water			W2, clean ship	started	14° 28.556' N	057° 14.715' W	5505	1	310.1	81.0	12.2	02	0
M161_194-1	2020/02/14 03:47:52	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 28.559' N	057° 14.712' W	5495	0	47.8	71.0	11.0	02	800
M161_194-1	2020/02/14 04:08:52	CTD	CTD	on deck				started	14° 28.559' N	057° 14.711' W	5516	1	319.2	73.0	12.5	02	0
M161_195-1	2020/02/14 06:24:39	CTD	CTD	in the water			W2, clean ship	started	14° 10.919' N	057° 14.748' W	5171	1	179.5	71.0	11.7	02	0
M161_195-1	2020/02/14 06:42:25	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.917' N	057° 14.746' W	5172	1	332.2	74.0	10.7	02	800
M161_195-1	2020/02/14 07:00:02	CTD	CTD	on deck				started	14° 10.918' N	057° 14.746' W	5169	1	168.7	76.0	9.8	02	0
M161_196-1	2020/02/14 09:23:18	CTD	CTD	in the water			W2, clean ship	started	13° 53.315' N	057° 14.778' W	4864	1	291.7	63.0	13.8	02	0
M161_196-1	2020/02/14 09:42:10	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 53.314' N	057° 14.775' W	4861	1	21.6	70.0	14.7	02	800
M161_196-1	2020/02/14 09:59:21	CTD	CTD	on deck				started	13° 53.315' N	057° 14.775' W	4862	1	50.8	62.0	14.4	02	0
M161_197-1	2020/02/14 12:30:48	CTD	CTD	in the water			W2, clean ship	started	13° 35.653' N	057° 14.714' W	4826	1	16.5	72.0	11.9	02	0
M161_197-1	2020/02/14 12:50:58	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 35.656' N	057° 14.712' W	4834	2	226.6	69.0	11.3	02	800
M161_197-1	2020/02/14 13:09:37	CTD	CTD	on deck				started	13° 35.655' N	057° 14.712' W	4829	1	30.3	71.0	12.1	02	0
M161_198-1	2020/02/14 15:31:23	CTD	CTD	in the water			W2, clean ship	started	13° 17.986' N	057° 14.713' W	4950	1	60.2	72.0	12.4	02	0
M161_198-1	2020/02/14 15:50:28	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 17.989' N	057° 14.711' W	4951	0	75.7	86.0	11.8	02	800
M161_198-1	2020/02/14 16:09:59	CTD	CTD	on deck				started	13° 17.987' N	057° 14.709' W	4952	0	27.1	84.0	11.6	02	0
M161_199-1	2020/02/14 17:58:14	CTD	CTD	in the water			W2, clean ship	started	13° 17.996' N	057° 24.940' W	4921	1	18.2	92.0	7.7	02	0
M161_199-1	2020/02/14 18:16:42	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 17.996' N	057° 24.938' W	4921	2	7.7	84.0	7.1	02	800
M161_199-1	2020/02/14 18:38:12	CTD	CTD	on deck				started	13° 17.996' N	057° 24.938' W	4921	2	25.5	80.0	9.5	02	0
M161_200-1	2020/02/14 20:13:34	CTD	CTD	in the water			W2, clean ship	started	13° 18.017' N	057° 14.801' W	4953	1	75.1	69.0	8.9	02	0
M161_200-1	2020/02/14 20:31:53	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 18.017' N	057° 14.800' W	4951	1	158.7	70.0	8.4	02	800
M161_200-1	2020/02/14 20:50:17	CTD	CTD	on deck				started	13° 18.017' N	057° 14.801' W	4953	1	156.4	72.0	9.2	02	0
M161_201-1	2020/02/14 23:05:23	CTD	CTD	in the water			W2, clean ship	started	13° 17.997' N	056° 59.419' W	4949	1	145.6	74.0	9.9	02	0
M161_201-1	2020/02/14 23:23:54	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 17.996' N	056° 59.418' W	4948	0	56.4	69.0	9.3	02	800
M161_201-1	2020/02/14 23:40:31	CTD	CTD	on deck				started	13° 17.997' N	056° 59.419' W	4951	0	80.6	65.0	11.2	02	0
M161_202-1	2020/02/15 01:43:39	CTD	CTD	in the water			W2, clean ship	started	13° 18.005' N	056° 43.811' W	4934	0	101.0	68.0	11.8	02	0
M161_202-1	2020/02/15 02:02:07	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 18.006' N	056° 43.811' W	4936	1	274.5	64.0	10.3	02	800
M161_202-1	2020/02/15 02:19:09	CTD	CTD	on deck				started	13° 18.005' N	056° 43.809' W	4933	1	351.7	72.0	10.8	02	0
M161_203-1	2020/02/15 04:31:07	CTD	CTD	in the water			W2, clean ship	started	13° 08.989' N	056° 59.398' W	4929	1	302.9	68.0	10.8	02	0
M161_203-1	2020/02/15 04:50:17	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 08.989' N	056° 59.396' W	4930	1	124.5	71.0	10.3	02	800
M161_203-1	2020/02/15 05:08:52	CTD	CTD	on deck				started	13° 08.989' N	056° 59.396' W	4929	0	120.1	61.0	9.9	02	0
M161_204-1	2020/02/15 07:27:56	CTD	CTD	in the water			W2, clean ship	started	13° 00.045' N	057° 14.733' W	4740	0	258.6	64.0	10.2	02	0
M161_204-1	2020/02/15 07:47:01	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 00.048' N	057° 14.734' W	4744	1	143.1	59.0	10.1	02	800
M161_204-1	2020/02/15 08:03:29	CTD	CTD	on deck				started	13° 00.048' N	057° 14.735' W	4742	1	306.3	69.0	11.3	02	0
M161_205-1	2020/02/15 10:33:01	CTD	CTD	in the water			W2, clean ship	started	12° 42.708' N	057° 14.714' W	4455	0	29.5	46.0	10.3	02	0
M161_205-1	2020/02/15 10:51:13	CTD	CTD	max depth/on ground			SLmax = 828m	started	12° 42.711' N	057° 14.713' W	4455	1	37.5	56.0	11.3	02	828
M161_205-1	2020/02/15 11:08:11	CTD	CTD	on deck				started	12° 42.710' N	057° 14.711' W	4459	1	258.6	61.0	9.1	02	0
M161_206-1	2020/02/15 13:43:15	CTD	CTD	in the water			W2, clean ship	started	12° 25.133' N	057° 14.718' W	4493	0	25.3	83.0	9.7	02	0
M161_206-1	2020/02/15 14:03:26	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.131' N	057° 14.717' W	4494	1	36.6	73.0	9.8	02	800
M161_206-1	2020/02/15 14:21:15	CTD	CTD	on deck				started	12° 25.130' N	057° 14.716' W	4494	0	177.0	74.0	10.4	02	0
M161_207-1	2020/02/15 16:36:09	CTD	CTD	in the water			W2, clean ship	started	12° 07.513' N	057° 14.734' W	4471	1	192.5	80.0	10.5	02	0
M161_207-1	2020/02/15 16:55:21	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 07.509' N	057° 14.734' W	4470	0	118.5	66.0	9.2	02	800
M161_207-1	2020/02/15 17:14:30	CTD	CTD	on deck				started	12° 07.508' N	057° 14.733' W	4470	1	270.3	74.0	9.8	02	0
M161_208-1	2020/02/15 19:08:20	CTD	CTD	in the water			W2, clean ship	started	12° 25.120' N	057° 14.735' W	4492	0	121.1	70.0	9.7	02	0
M161_208-1	2020/02/15 19:27:22	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.122' N	057° 14.734' W	4493	1	355.7	71.0	9.8	02	800
M161_208-1	2020/02/15 19:50:43	CTD	CTD	on deck				started	12° 25.121' N	057° 14.734' W	4494	1	120.1	70.0	10.3	02	0
M161_209-1	2020/02/15 22:19:34	CTD	CTD	in the water			W2, clean ship	started	12° 42.750' N	057° 14.746' W	4455	1	248.7	78.0	10.3	02	0
M161_209-1	2020/02/15 22:36:46	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 42.751' N	057° 14.744' W	4452	1	163.2	79.0	9.4	02	800
M161_209-1	2020/02/15 22:53:17	CTD	CTD	on deck				started	12° 42.753' N	057° 14.744' W	4456	1	137.4	85.0	8.8	02	0
M161_210-1	2020/02/16 01:31:58	CTD	CTD	in the water			W2, clean ship	started	13° 00.047' N	057° 14.706' W	4735	1	193.9	65.0	10.5	02	0
M161_210-1	2020/02/16 01:50:22	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 00.046' N	057° 14.702' W	4742	0	63.3	74.0	9.3	02	800
M161_210-1	2020/02/16 02:07:40	CTD	CTD	on deck				started	13° 00.045' N	057° 14.704' W	4741	1	270.1	70.0	9.3	02	0
M161_211-1	2020/02/16 04:33:04	CTD	CTD	in the water			W2, clean ship	started	13° 22.863' N	057° 14.720' W	4955	1	184.6	70.0	9.2	02	0
M161_211-1	2020/02/16 04:51:50	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 22.860' N	057° 14.719' W	4955	0	163.6	66.0	9.1	02	799
M161_211-1	2020/02/16 05:30:50	CTD	CTD	on deck				started	13° 22.862' N	057° 14.718' W	4952	1	55.1	55.0	9.9	02	0
M161_212-1	2020/02/16 06:45:30	CTD	CTD	in the water			W2, clean ship	started	13° 22.864' N	057° 14.719' W	4955	1	345.1	79.0	8.8	02	0
M161_212-1	2020/02/16 06:54:36	CTD	CTD	max depth/on ground			SLmax = 250m	started	13° 22.861' N	057° 14.719' W	4955	1	237.5	68.0	10.0	02	250
M161_212-1	2020/02/16 07:14:37	CTD	CTD	on deck				started	13° 22.861' N	057° 14.719' W	4954	1	216.6	71.0	10.6	02	0
M161_213-1	2020/02/16 08:39:18	CTD	CTD	in the water			W2, clean ship	started	13° 35.645' N	057° 14.718' W	4828	1	300.2	83.0	9.3	02	0
M161_213-1	2020/02/16 08:57:26	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 35.643' N	057° 14.717' W	4827	1	293.8	78.0	9.8	02	799
M161_213-1	2020/02/16 09:14:04	CTD	CTD	on deck				started	13° 35.645' N	057° 14.717' W	4832	1	335.5	71.0	10.0	02	0
M161_214-1	2020/02/16 11:07:47	CTD	CTD	in the water			W2, clean ship	started	13° 53.333' N	057° 14.720' W	4864	1	84.5	80.0	10.3	02	0
M161_214-1	2020/02/16 11:25:44	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 53.332' N	057° 14.720' W	4863	0	120.9	78.0	10.3	02	800
M161_214-1	2020/02/16 11:42:50	CTD	CTD	on deck				started	13° 53.334' N	057° 14.720' W	4862	1	353.2	85.0	9.7	02	0
M161_215-1	2020/02/16 14:21:38	Glider	GLIDER	on deck				started	14° 11.015' N	057° 20.522' W	5170	2	72.6	62.0	9.1	02	0
M161_216-1	2020/02/16 14:40:53	Glider	GLIDER	on deck				started	14° 10.984' N	057° 20.481' W	5168	1	261.2	77.0	7.9	02	0
M161_217-1	2020/02/16 14:57:56	CTD	CTD	in the water			W2, clean ship	started	14° 10.975' N	057° 20.612' W	5168	1	39.9	69.0	13.2	02	0
M161_217-1	2020/02/16 15:21:40	CTD	CTD	max depth/on ground			SLmax = 1000m	started	14° 10.975' N	057° 20.610' W	5168	0	225.1	81.0	14.3	02	1000
M161_217-1	2020/02/16 16:04:47	CTD	CTD	on deck				started	14° 10.977' N	057° 20.612' W	5168	1	136.8	71.0	10.1	02	0
M161_218-1	2020/02/16 17:02:40	CTD	CTD	in the water			W2, clean ship	started	14° 10.918' N	057° 25.242' W	5175	1	169.4	101.0	8.6	02	0
M161_218-1	2020/02/16 17:21:57	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.916' N	057° 25.237' W	5174	1	105.4	81.0	8.1	02	800
M161_218-1	2020/02/16 17:43:10	CTD	CTD	on deck				started	14° 10.914' N	057° 25.238' W	5171	1	260.0	65.0	14.7	02	0
M161_219-1	2020/02/16 19:30:07	CTD	CTD	in the water			W2, clean ship	started	14° 10.927' N	057° 14.765' W	5170	0	136.7	106.0	9.0	02	0
M161_219-1	2020/02/16 19:48:42	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.927' N	057° 14.761' W	5168	0	285.8	102.0	7.7	02	800
M161_219-1	2020/02/16 20:05:36	CTD	CTD	on deck				started	14° 10.928' N	057° 14.760' W	5172	1	112.8	93.0	8.4	02	0
M161_220-1	2020/02/16 22:10:35	CTD	CTD	in the water			W2, clean ship	started	14° 10.943' N	057° 04.017' W	5099	0	294.7	82.0	7.6	02	7
M161_220-1	2020/02/16 22:27:22	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.942' N	057° 04.015' W	5101	2	8.5	84.0	7.1	02	800
M161_220-1	2020/02/16 22:43:51	CTD	CTD	on deck				started	14° 10.941' N	057° 04.014' W	5099	0	334.9	63.0	10.2	02	0
M161_221-1	2020/02/17 00:27:57	CTD	CTD	in the water			W2, clean ship	started	14° 10.921' N	056° 54.016' W	5127	1	45.5	64.0	9.7	02	0
M161_221-1	2020/02/17 00:48:11	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.922' N	056° 54.016' W	5128	1	336.7	74.0	9.9	02	800
M161_221-1	2020/02/17 01:06:52	CTD	CTD	on deck				started	14° 10.921' N	056° 54.014' W	5127	1	164.6	82.0	9.0	02	0
M161_222-1	2020/02/17 03:07:56	CTD	CTD	in the water			W2, clean ship	started	14° 10.934' N	056° 44.065' W	5157	1	268.0	87.0	10.0	02	0
M161_222-1	2020/02/17 03:24:57	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.938' N	056° 44.063' W	5163	1	242.6	73.0	10.3	02	800
M161_222-1	2020/02/17 03:40:00	CTD	CTD	on deck				started	14° 10.937' N	056° 44.061' W	5156	2	292.9	95.0	10.1	02	0
M161_223-1	2020/02/17 06:03:19	CTD	CTD	in the water			W2, clean ship	started	14° 19.746' N	056° 59.850' W	5375	1	193.2	75.0	10.1	02	0
M161_223-1	2020/02/17 06:22:36	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 19.747' N	056° 59.846' W	5373	1	170.3	81.0	9.7	02	800
M161_223-1	2020/02/17 06:41:29	CTD	CTD	on deck				started	14° 19.749' N	056° 59.846' W	5375	1	206.7	77.0	11.0	02	0
M161_224-1	2020/02/17 08:55:53	CTD	CTD	in the water			W2, clean ship	started	14° 28.577' N	057° 14.779' W	5509	1	125.6	79.0	12.1	02	0
M161_224-1	2020/02/17 09:13:51	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 28.580' N	057° 14.778' W	5508	1	267.7	87.0	11.6	02	800
M161_224-1	2020/02/17 09:30:41	CTD	CTD	on deck				started	14° 28.581' N	057° 14.778' W	5508	1	130.7	77.0	11.4	02	0
M161_225-1	2020/02/17 11:51:17	CTD	CTD	in the water			W2, clean ship	started	14° 10.927' N	057° 14.725' W	5173	1	30.5	70.0	9.8	02	0
M161_225-1	2020/02/17 12:12:29	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.925' N	057° 14.725' W	5173	1	28.5	64.0	10.3	02	800
M161_225-1	2020/02/17 12:31:50	CTD	CTD	on deck				started	14° 10.926' N	057° 14.726' W	5171	1	256.4	62.0	10.1	02	0
M161_226-1	2020/02/17 15:15:55	CTD	CTD	in the water			W2, clean ship	started	13° 53.318' N	057° 14.702' W	4865	1	202.7	83.0	8.8	02	0
M161_226-1	2020/02/17 15:37:20	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 53.317' N	057° 14.702' W	4872	0	235.3	80.0	9.1	02	800
M161_226-1	2020/02/17 16:00:09	CTD	CTD	on deck				started	13° 53.318' N	057° 14.701' W	4868	0	323.0	83.0	9.5	02	0
M161_227-1	2020/02/17 17:57:35	CTD	CTD	in the water			W2, clean ship	started	13° 35.644' N	057° 14.733' W	4826	1	347.2	75.0	11.3	02	0
M161_227-1	2020/02/17 18:16:21	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 35.643' N	057° 14.733' W	4827	1	145.7	83.0	9.2	02	800
M161_227-1	2020/02/17 18:35:22	CTD	CTD	on deck				started	13° 35.641' N	057° 14.734' W	4830	1	183.7	84.0	11.3	02	0
M161_228-1	2020/02/17 20:38:20	CTD	CTD	in the water			W2, clean ship	started	13° 17.989' N	057° 14.738' W	4952	2	145.1	82.0	11.1	02	0
M161_228-1	2020/02/17 20:55:04	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 17.993' N	057° 14.736' W	4953	1	299.4	73.0	11.3	02	800
M161_228-1	2020/02/17 21:11:55	CTD	CTD	on deck				started	13° 17.993' N	057° 14.736' W	4951	1	175.6	73.0	10.6	02	0
M161_229-1	2020/02/17 23:28:37	CTD	CTD	in the water			W2, clean ship	started	13° 00.032' N	057° 14.729' W	4738	1	58.1	74.0	10.8	02	0
M161_229-1	2020/02/17 23:46:55	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 00.031' N	057° 14.723' W	4736	1	125.2	73.0	10.8	02	800
M161_229-1	2020/02/18 00:01:50	CTD	CTD	on deck				started	13° 00.029' N	057° 14.723' W	4736	1	163.8	69.0	11.0	02	0
M161_230-1	2020/02/18 02:08:36	CTD	CTD	in the water			W2, clean ship	started	12° 42.751' N	057° 14.715' W	4462	2	52.7	70.0	10.7	02	0
M161_230-1	2020/02/18 02:24:52	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 42.751' N	057° 14.712' W	4459	1	262.7	70.0	10.5	02	800
M161_230-1	2020/02/18 02:40:33	CTD	CTD	on deck				started	12° 42.753' N	057° 14.712' W	4457	1	85.8	67.0	11.2	02	0
M161_231-1	2020/02/18 05:02:32	CTD	CTD	in the water			W2, clean ship	started	12° 25.156' N	057° 14.748' W	4494	2	349.1	76.0	12.1	02	0
M161_231-1	2020/02/18 05:21:33	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.154' N	057° 14.747' W	4493	2	342.1	76.0	12.0	02	800
M161_231-1	2020/02/18 05:40:33	CTD	CTD	on deck				started	12° 25.154' N	057° 14.746' W	4493	1	310.8	78.0	12.0	02	0
M161_232-1	2020/02/18 07:51:13	CTD	CTD	in the water			W2, clean ship	started	12° 07.510' N	057° 14.735' W	4472	0	234.3	73.0	11.6	02	0
M161_232-1	2020/02/18 08:09:09	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 07.511' N	057° 14.731' W	4472	1	127.1	77.0	10.8	02	800
M161_232-1	2020/02/18 08:25:42	CTD	CTD	on deck				started	12° 07.511' N	057° 14.731' W	4472	0	287.9	72.0	10.6	02	0
M161_233-1	2020/02/18 10:41:00	CTD	CTD	in the water			W2, clean ship	started	12° 25.141' N	057° 14.754' W	4492	0	95.3	77.0	10.9	02	0
M161_233-1	2020/02/18 10:58:35	CTD	CTD	max depth/on ground			SLmax = 800m 	started	12° 25.139' N	057° 14.754' W	4493	0	264.7	85.0	10.9	02	800
M161_233-1	2020/02/18 11:15:48	CTD	CTD	on deck				started	12° 25.138' N	057° 14.753' W	4493	1	28.9	78.0	11.5	02	0
M161_234-1	2020/02/18 13:41:06	CTD	CTD	in the water			W2, clean ship	started	12° 42.754' N	057° 14.714' W	4458	1	36.7	96.0	11.3	02	0
M161_234-1	2020/02/18 14:02:30	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 42.752' N	057° 14.711' W	4458	2	272.6	96.0	10.3	02	800
M161_234-1	2020/02/18 14:23:04	CTD	CTD	on deck				started	12° 42.752' N	057° 14.711' W	4460	1	244.6	94.0	11.5	02	0
M161_235-1	2020/02/18 16:56:28	CTD	CTD	in the water			W2, clean ship	started	13° 00.074' N	057° 14.706' W	4740	1	197.5	84.0	7.4	02	0
M161_235-1	2020/02/18 17:15:47	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 00.071' N	057° 14.706' W	4741	0	273.9	108.0	9.1	02	800
M161_235-1	2020/02/18 17:34:05	CTD	CTD	on deck				started	13° 00.070' N	057° 14.706' W	4739	0	89.7	86.0	10.9	02	0
M161_236-1	2020/02/18 20:45:41	CTD	CTD	in the water			W2, clean ship	started	13° 18.013' N	057° 14.734' W	4953	0	173.4	69.0	10.9	02	0
M161_236-1	2020/02/18 21:02:57	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 18.011' N	057° 14.733' W	4952	0	359.2	65.0	10.4	02	800
M161_236-1	2020/02/18 21:19:41	CTD	CTD	on deck				started	13° 18.012' N	057° 14.733' W	4952	1	21.5	68.0	11.2	02	0
M161_237-1	2020/02/20 15:15:01	CTD	CTD	in the water			W2, clean ship	started	13° 35.641' N	057° 14.703' W	4829	1	299.9	51.0	12.5	02	0
M161_237-1	2020/02/20 15:33:32	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 35.642' N	057° 14.703' W	4842	1	188.0	44.0	11.5	02	800
M161_237-1	2020/02/20 16:10:29	CTD	CTD	on deck				started	13° 35.643' N	057° 14.701' W	4825	1	49.8	59.0	10.6	02	0
M161_238-1	2020/02/20 16:51:20	CTD	CTD	in the water			W2, clean ship	started	13° 35.640' N	057° 14.702' W	4828	1	333.9	50.0	10.5	02	0
M161_238-1	2020/02/20 17:00:53	CTD	CTD	max depth/on ground			SLmax = 250m	started	13° 35.643' N	057° 14.701' W	4829	1	346.0	54.0	10.0	02	250
M161_238-1	2020/02/20 17:16:26	CTD	CTD	on deck				started	13° 35.641' N	057° 14.701' W	4829	0	282.4	55.0	9.4	02	0
M161_239-1	2020/02/21 12:14:23	CTD	CTD	in the water			W2, clean ship	started	15° 48.690' N	055° 16.314' W	5510	1	291.5	98.0	6.8	02	0
M161_239-1	2020/02/21 12:57:33	CTD	CTD	max depth/on ground			SLmax = 200m	started	15° 48.690' N	055° 16.314' W	5503	0	149.1	108.0	6.9	02	2000
M161_239-1	2020/02/21 13:43:44	CTD	CTD	on deck				started	15° 48.691' N	055° 16.314' W	5501	0	206.2	109.0	5.9	02	0
M161_240-1	2020/02/21 13:53:55	Floater	FLOAT	in the water				started	15° 48.711' N	055° 16.184' W	5505	2	64.9	101.0	6.7	02	0
M161_241-1	2020/02/21 20:10:47	CTD	CTD	in the water			W2, clean ship	started	16° 32.660' N	054° 36.985' W	5332	1	47.5	108.0	2.7	02	0
M161_241-1	2020/02/21 20:24:28	CTD	CTD	max depth/on ground			SLmax = 500m	started	16° 32.659' N	054° 36.986' W	5325	0	358.5	99.0	2.7	02	500
M161_241-1	2020/02/21 20:36:38	CTD	CTD	on deck				started	16° 32.660' N	054° 36.985' W	5309	1	73.7	102.0	1.9	02	0
M161_242-1	2020/02/23 14:04:47	CTD	CTD	in the water			W2, clean ship	started	21° 31.580' N	050° 04.860' W	5300	1	312.8	135.0	9.6	02	0
M161_242-1	2020/02/23 14:18:16	CTD	CTD	max depth/on ground			SLmax = 500m	started	21° 31.580' N	050° 04.858' W	5383	0	174.6	131.0	8.8	02	500
M161_242-1	2020/02/23 14:30:45	CTD	CTD	on deck				started	21° 31.581' N	050° 04.857' W	5323	1	28.1	132.0	9.2	02	0
M161_243-1	2020/02/23 17:00:56	CTD	CTD	in the water			W2, clean ship	started	21° 48.318' N	049° 49.763' W	4547	0	282.2	130.0	8.0	02	0
