Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_159-1	2020/02/09 16:53:39	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.128' N	057° 14.701' W	4493	1	270.1	88.0	11.5	02	800
M161_159-1	2020/02/09 17:12:07	CTD	CTD	on deck				started	12° 25.131' N	057° 14.701' W	4494	1	345.1	95.0	10.7	02	0
M161_160-1	2020/02/09 18:27:08	CTD	CTD	in the water			W2, clean ship	started	12° 25.128' N	057° 14.703' W	4495	1	270.8	88.0	10.6	02	0
M161_160-1	2020/02/09 18:45:58	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.131' N	057° 14.701' W	4494	1	267.2	89.0	10.7	02	799
M161_160-1	2020/02/09 19:05:10	CTD	CTD	on deck				started	12° 25.128' N	057° 14.701' W	4493	1	288.5	77.0	10.7	02	0
M161_161-1	2020/02/09 20:28:50	CTD	CTD	in the water			W2, clean ship	started	12° 25.129' N	057° 14.702' W	4495	0	82.8	75.0	10.5	02	0
M161_161-1	2020/02/09 20:46:32	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.129' N	057° 14.702' W	4494	1	251.8	73.0	8.7	02	800
M161_161-1	2020/02/09 21:03:36	CTD	CTD	on deck				started	12° 25.129' N	057° 14.701' W	4493	0	286.4	81.0	10.0	02	0
M161_162-1	2020/02/09 23:10:49	CTD	CTD	in the water			W2, clean ship	started	12° 42.731' N	057° 14.744' W	4459	1	185.9	83.0	11.4	02	0
M161_162-1	2020/02/09 23:28:22	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 42.733' N	057° 14.741' W	4459	1	247.4	77.0	11.5	02	800
M161_162-1	2020/02/09 23:44:50	CTD	CTD	on deck				started	12° 42.733' N	057° 14.740' W	4456	1	47.0	77.0	12.6	02	0
M161_163-1	2020/02/10 02:16:53	CTD	CTD	in the water			W2, clean ship	started	13° 00.031' N	057° 14.704' W	4738	1	4.2	74.0	12.7	02	0
M161_163-1	2020/02/10 02:34:08	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 00.031' N	057° 14.702' W	4739	1	94.5	69.0	13.2	02	800
M161_163-1	2020/02/10 02:49:30	CTD	CTD	on deck				started	13° 00.031' N	057° 14.703' W	4738	2	295.3	77.0	13.0	02	0
M161_164-1	2020/02/10 05:02:08	CTD	CTD	in the water			W2, clean ship	started	13° 17.998' N	057° 14.727' W	4951	0	22.4	83.0	11.6	02	0
M161_164-1	2020/02/10 05:20:24	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 17.997' N	057° 14.723' W	4951	1	63.1	77.0	10.2	02	800
M161_164-1	2020/02/10 05:59:40	CTD	CTD	on deck				started	13° 17.998' N	057° 14.725' W	4952	0	9.9	78.0	11.6	02	0
M161_165-1	2020/02/10 07:12:54	CTD	CTD	in the water			W2, clean ship	started	13° 17.998' N	057° 14.724' W	4950	0	206.3	77.0	11.4	02	1
M161_165-1	2020/02/10 07:22:07	CTD	CTD	max depth/on ground			SLmax = 250m	started	13° 17.997' N	057° 14.724' W	4950	1	309.7	80.0	10.6	02	250
M161_165-1	2020/02/10 07:38:46	CTD	CTD	on deck				started	13° 17.997' N	057° 14.725' W	4951	0	80.3	75.0	10.8	02	0
M161_166-1	2020/02/10 10:39:33	CTD	CTD	in the water			W2, clean ship	started	13° 35.634' N	057° 14.775' W	4828	1	227.9	67.0	10.4	02	0
M161_166-1	2020/02/10 10:57:06	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 35.641' N	057° 14.708' W	4828	1	45.0	65.0	9.9	02	800
M161_166-1	2020/02/10 11:13:58	CTD	CTD	on deck				started	13° 35.641' N	057° 14.708' W	4837	1	307.3	69.0	10.0	02	0
M161_167-1	2020/02/10 13:27:03	CTD	CTD	in the water			W2, clean ship	started	13° 53.326' N	057° 14.723' W	4867	1	126.4	66.0	12.0	02	0
M161_167-1	2020/02/10 13:44:13	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 53.330' N	057° 14.722' W	4862	1	318.2	63.0	11.0	02	800
M161_167-1	2020/02/10 14:00:49	CTD	CTD	on deck				started	13° 53.329' N	057° 14.721' W	4861	2	187.1	61.0	10.2	02	0
